"id","item_id","order","size","has_derivative_image","authentication","mime_type","type_os","filename","original_filename","modified","added","stored","metadata"
"108","108",NULL,"381293","1","18c11b27002ad606524d2137cbc4fbf2","application/pdf","PDF document, version 1.6","56983544c5f0ec38bb1374bd96d666b8.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_052.pdf","2017-12-29 19:37:00","2017-04-17 21:04:27","1","{""mime_type"":""application\/pdf""}"
"109","109",NULL,"1863049","1","3e87f00010a94eda0abfbe5fa9420ef1","application/pdf","PDF document, version 1.6","2698cca648a1b37dd079f3d029c8f180.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_053.pdf","2017-12-29 19:37:01","2017-04-17 21:04:29","1","{""mime_type"":""application\/pdf""}"
"110","110",NULL,"567041","1","efd2c6cae22024867b9fbaa0d77be556","application/pdf","PDF document, version 1.6","10c77548ac3d87b3d986653f4e415278.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_001_054.pdf","2017-12-29 19:37:01","2017-04-17 21:04:30","1","{""mime_type"":""application\/pdf""}"
"111","111",NULL,"14265648","1","0669720c718e66361e96a096d798264b","application/pdf","PDF document, version 1.6","eab2690f1314c742c60441794dab4e5d.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002.pdf","2017-12-29 19:37:02","2017-04-17 21:09:07","1","{""mime_type"":""application\/pdf""}"
"112","112",NULL,"210045","1","a971754e2d5dc8493b5a15bc2a71d784","application/pdf","PDF document, version 1.6","8df1e682b86c0d7e399a6f83f8e483f7.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_001.pdf","2017-12-29 19:37:02","2017-04-17 21:09:10","1","{""mime_type"":""application\/pdf""}"
"113","113",NULL,"159276","1","4f5bfbe3cacd8fc1b6331a55382a82a6","application/pdf","PDF document, version 1.6","0039f2a59b87b6e1900479b3dc6f938c.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_002.pdf","2017-12-29 19:37:02","2017-04-17 21:09:11","1","{""mime_type"":""application\/pdf""}"
"114","114",NULL,"1193063","1","3712d5c2f95e5422d0ffd0df712369c6","application/pdf","PDF document, version 1.6","93e42bf5803eb3080b032821bf87d3bf.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_003.pdf","2017-12-29 19:37:03","2017-04-17 21:09:12","1","{""mime_type"":""application\/pdf""}"
"115","115",NULL,"75149","1","cd46ab60e4f0bf67a93f20033d80077d","application/pdf","PDF document, version 1.6","3c5ecd97cf3271258f0b36a430fe267a.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_004.pdf","2017-12-29 19:37:03","2017-04-17 21:09:14","1","{""mime_type"":""application\/pdf""}"
"116","116",NULL,"122082","1","068238086887b65509454165865a0bef","application/pdf","PDF document, version 1.6","43456dba70d3f2690b07e30e8ede2c2a.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_005.pdf","2017-12-29 19:37:03","2017-04-17 21:09:15","1","{""mime_type"":""application\/pdf""}"
"117","117",NULL,"128834","1","f1897bad6598d8da044079de1b33d459","application/pdf","PDF document, version 1.6","781a8040077ea1221a2c5f09128e5a76.pdf","http://allenarchive-dev.iac.gatech.edu/originals/ahc_CAR_015_001_002_006.pdf","2017-12-29 19:37:04","2017-04-17 21:09:16","1","{""mime_type"":""application\/pdf""}"
